zipCode;"city";"lat";"lng"
555;"Scanning";NULL;NULL
800;"Høje Taastrup";NULL;NULL
877;"Valby";NULL;NULL
900;"København C";NULL;NULL
910;"København C";NULL;NULL
929;"København C";NULL;NULL
999;"København C";NULL;NULL
1000;"København K";NULL;NULL
1001;"København K";NULL;NULL
1002;"København K";NULL;NULL
1003;"København K";NULL;NULL
1004;"København K";NULL;NULL
1005;"København K";NULL;NULL
1006;"København K";NULL;NULL
1007;"København K";NULL;NULL
1008;"København K";NULL;NULL
1009;"København K";NULL;NULL
1010;"København K";NULL;NULL
1011;"København K";NULL;NULL
1012;"København K";NULL;NULL
1013;"København K";NULL;NULL
1014;"København K";NULL;NULL
1015;"København K";NULL;NULL
1016;"København K";NULL;NULL
1017;"København K";NULL;NULL
1018;"København K";NULL;NULL
1019;"København K";NULL;NULL
1020;"København K";NULL;NULL
1021;"København K";NULL;NULL
1022;"København K";NULL;NULL
1023;"København K";NULL;NULL
1024;"København K";NULL;NULL
1025;"København K";NULL;NULL
1026;"København K";NULL;NULL
1045;"København K";NULL;NULL
1050;"København K";NULL;NULL
1051;"København K";NULL;NULL
1052;"København K";NULL;NULL
1053;"København K";NULL;NULL
1054;"København K";NULL;NULL
1055;"København K";NULL;NULL
1056;"København K";NULL;NULL
1057;"København K";NULL;NULL
1058;"København K";NULL;NULL
1059;"København K";NULL;NULL
1060;"København K";NULL;NULL
1061;"København K";NULL;NULL
1062;"København K";NULL;NULL
1063;"København K";NULL;NULL
1064;"København K";NULL;NULL
1065;"København K";NULL;NULL
1066;"København K";NULL;NULL
1067;"København K";NULL;NULL
1068;"København K";NULL;NULL
1069;"København K";NULL;NULL
1070;"København K";NULL;NULL
1071;"København K";NULL;NULL
1072;"København K";NULL;NULL
1073;"København K";NULL;NULL
1074;"København K";NULL;NULL
1092;"København K";NULL;NULL
1093;"København K";NULL;NULL
1095;"København K";NULL;NULL
1098;"København K";NULL;NULL
1100;"København K";NULL;NULL
1101;"København K";NULL;NULL
1102;"København K";NULL;NULL
1103;"København K";NULL;NULL
1104;"København K";NULL;NULL
1105;"København K";NULL;NULL
1106;"København K";NULL;NULL
1107;"København K";NULL;NULL
1110;"København K";NULL;NULL
1111;"København K";NULL;NULL
1112;"København K";NULL;NULL
1113;"København K";NULL;NULL
1114;"København K";NULL;NULL
1115;"København K";NULL;NULL
1116;"København K";NULL;NULL
1117;"København K";NULL;NULL
1118;"København K";NULL;NULL
1119;"København K";NULL;NULL
1120;"København K";NULL;NULL
1121;"København K";NULL;NULL
1122;"København K";NULL;NULL
1123;"København K";NULL;NULL
1124;"København K";NULL;NULL
1125;"København K";NULL;NULL
1126;"København K";NULL;NULL
1127;"København K";NULL;NULL
1128;"København K";NULL;NULL
1129;"København K";NULL;NULL
1130;"København K";NULL;NULL
1131;"København K";NULL;NULL
1140;"København K";NULL;NULL
1147;"København K";NULL;NULL
1148;"København K";NULL;NULL
1150;"København K";NULL;NULL
1151;"København K";NULL;NULL
1152;"København K";NULL;NULL
1153;"København K";NULL;NULL
1154;"København K";NULL;NULL
1155;"København K";NULL;NULL
1156;"København K";NULL;NULL
1157;"København K";NULL;NULL
1158;"København K";NULL;NULL
1159;"København K";NULL;NULL
1160;"København K";NULL;NULL
1161;"København K";NULL;NULL
1162;"København K";NULL;NULL
1163;"København K";NULL;NULL
1164;"København K";NULL;NULL
1165;"København K";NULL;NULL
1166;"København K";NULL;NULL
1167;"København K";NULL;NULL
1168;"København K";NULL;NULL
1169;"København K";NULL;NULL
1170;"København K";NULL;NULL
1171;"København K";NULL;NULL
1172;"København K";NULL;NULL
1173;"København K";NULL;NULL
1174;"København K";NULL;NULL
1175;"København K";NULL;NULL
1200;"København K";NULL;NULL
1201;"København K";NULL;NULL
1202;"København K";NULL;NULL
1203;"København K";NULL;NULL
1204;"København K";NULL;NULL
1205;"København K";NULL;NULL
1206;"København K";NULL;NULL
1207;"København K";NULL;NULL
1208;"København K";NULL;NULL
1209;"København K";NULL;NULL
1210;"København K";NULL;NULL
1211;"København K";NULL;NULL
1212;"København K";NULL;NULL
1213;"København K";NULL;NULL
1214;"København K";NULL;NULL
1215;"København K";NULL;NULL
1216;"København K";NULL;NULL
1217;"København K";NULL;NULL
1218;"København K";NULL;NULL
1219;"København K";NULL;NULL
1220;"København K";NULL;NULL
1240;"København K";NULL;NULL
1250;"København K";NULL;NULL
1251;"København K";NULL;NULL
1252;"København K";NULL;NULL
1253;"København K";NULL;NULL
1254;"København K";NULL;NULL
1255;"København K";NULL;NULL
1256;"København K";NULL;NULL
1257;"København K";NULL;NULL
1258;"København K";NULL;NULL
1259;"København K";NULL;NULL
1260;"København K";NULL;NULL
1261;"København K";NULL;NULL
1263;"København K";NULL;NULL
1264;"København K";NULL;NULL
1265;"København K";NULL;NULL
1266;"København K";NULL;NULL
1267;"København K";NULL;NULL
1268;"København K";NULL;NULL
1270;"København K";NULL;NULL
1271;"København K";NULL;NULL
1291;"København K";NULL;NULL
1300;"København K";NULL;NULL
1301;"København K";NULL;NULL
1302;"København K";NULL;NULL
1303;"København K";NULL;NULL
1304;"København K";NULL;NULL
1306;"København K";NULL;NULL
1307;"København K";NULL;NULL
1308;"København K";NULL;NULL
1309;"København K";NULL;NULL
1310;"København K";NULL;NULL
1311;"København K";NULL;NULL
1312;"København K";NULL;NULL
1313;"København K";NULL;NULL
1314;"København K";NULL;NULL
1315;"København K";NULL;NULL
1316;"København K";NULL;NULL
1317;"København K";NULL;NULL
1318;"København K";NULL;NULL
1319;"København K";NULL;NULL
1320;"København K";NULL;NULL
1321;"København K";NULL;NULL
1322;"København K";NULL;NULL
1323;"København K";NULL;NULL
1324;"København K";NULL;NULL
1325;"København K";NULL;NULL
1326;"København K";NULL;NULL
1327;"København K";NULL;NULL
1328;"København K";NULL;NULL
1329;"København K";NULL;NULL
1349;"København K";NULL;NULL
1350;"København K";NULL;NULL
1352;"København K";NULL;NULL
1353;"København K";NULL;NULL
1354;"København K";NULL;NULL
1355;"København K";NULL;NULL
1356;"København K";NULL;NULL
1357;"København K";NULL;NULL
1358;"København K";NULL;NULL
1359;"København K";NULL;NULL
1360;"København K";NULL;NULL
1361;"København K";NULL;NULL
1362;"København K";NULL;NULL
1363;"København K";NULL;NULL
1364;"København K";NULL;NULL
1365;"København K";NULL;NULL
1366;"København K";NULL;NULL
1367;"København K";NULL;NULL
1368;"København K";NULL;NULL
1369;"København K";NULL;NULL
1370;"København K";NULL;NULL
1371;"København K";NULL;NULL
1390;"København K";NULL;NULL
1400;"København K";NULL;NULL
1401;"København K";NULL;NULL
1402;"København K";NULL;NULL
1403;"København K";NULL;NULL
1404;"København K";NULL;NULL
1405;"København K";NULL;NULL
1406;"København K";NULL;NULL
1407;"København K";NULL;NULL
1408;"København K";NULL;NULL
1409;"København K";NULL;NULL
1410;"København K";NULL;NULL
1411;"København K";NULL;NULL
1412;"København K";NULL;NULL
1413;"København K";NULL;NULL
1414;"København K";NULL;NULL
1415;"København K";NULL;NULL
1416;"København K";NULL;NULL
